"filename";"caption";"date1";"date2";"date";"date3";"agent";"role";"agent2";"role2";"copyright";"source";"empty_column";"notes";"mon_id";"class_code";"classification";"agent3";"date_scan";"license";"url";"rights_text";"heidata";"heidoc"
"SKH0155_D_2022_location_map";"Jaḥdhuṃhiti, location map";"";"";"2021";"";"1248182";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4029783-4";"Karte";"1173868";"2022-03-10";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_D_2022_site_plan";"Jaḥdhuṃhiti, site plan";"";"";"2022-03-10";"";"1173868";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_D_2022_floor_plan";"Jaḥdhuṃhiti, floor plan";"";"";"2022-03-10";"";"1173868";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_D_2022_section";"Jaḥdhuṃhiti, section";"";"";"2022-03-10";"";"1173868";"draftsman";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4068827-6";"Architekturzeichnung";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_P_20211110_02";"Jaḥdhuṃhiti, view from W";"";"";"2021-11-10";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_P_20211110_07";"Jaḥdhuṃhiti, view from E";"";"";"2021-11-10";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155-003_P_20211110_03";"Jaḥdhuṃhiti, Licchavi Caitya (A), view from NE";"";"";"2021-11-10";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155-003_P_20220320_02";"Jaḥdhuṃhiti, Licchavi Caitya (A), view from SW";"";"";"2022-03-20";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155-004_P_20220320_01";"Jaḥdhuṃhiti, Licchavi Caitya (B), view from SE";"";"";"2022-03-20";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155-004_P_20220320_02";"Jaḥdhuṃhiti, Licchavi Caitya (B), view from NW";"";"";"2022-03-20";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155-001_P_20220306_02";"Jaḥdhuṃhiti, view from W";"";"";"2022-03-06";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155-004_P_20211110_03";"Jaḥdhuṃhiti, Licchavi Caitya, view from SE";"";"";"2021-11-10";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155-003_P_20220320_01";"Jaḥdhuṃhiti, Licchavi Caitya (A), view from NE";"";"";"2022-03-20";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155-002_P_20220306_01";"Jaḥdhuṃhiti, water spout, view from SE";"";"";"2022-03-06";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155-005_P_20220306_01";"Jaḥdhuṃhiti, well, view from W";"";"";"2022-03-06";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155-001_P_20220306_01";"Jaḥdhuṃhiti, stone water vessel, view from W";"";"";"2022-03-06";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_P_20220306_01";"Jaḥdhuṃhiti, view from W";"";"";"2022-03-06";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_P_20220306_04";"Jaḥdhuṃhiti, view with the well from N";"";"";"2022-03-06";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_P_20220306_05";"Jaḥdhuṃhiti, view with the well from NE";"";"";"2022-03-06";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_P_20220306_06";"Jaḥdhuṃhiti, view from E";"";"";"2022-03-06";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_P_20220306_10";"Jaḥdhuṃhiti, view from SW";"";"";"2022-03-06";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_P_20220306_08";"Jaḥdhuṃhiti, view from SE";"";"";"2022-03-06";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_P_20220306_09";"Jaḥdhuṃhiti, view from W";"";"";"2022-03-06";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_P_20220306_03";"Jaḥdhuṃhiti, view from NW";"";"";"2022-03-06";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155_P_20220330_01";"Jaḥdhuṃhiti, view from SE";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155-004_P_20220330_01";"Jaḥdhuṃhiti, Licchavi Caitya, view from SE";"";"";"2022-03-30";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0155-005_P_20211110_01";"Jaḥdhuṃhiti, well, view from NE";"";"";"2021-11-10";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0155";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_P_20211110_01";"Maṇḍapa Phalcā, view from E";"";"";"2021-11-10";"";"1248182";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4002855-0";"Architekturfotografie";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
"SKH0140_I_003_20211228_01";"Maṇḍapa Phalcā, inscription, view from N";"";"";"2021-12-28";"";"1173885";"photographer";"";"";"Nepal Heritage Documentation Project";"";"";"";"SKH0140";"4027107-9";"Inschrift";"";"";"CC BY-SA 4.0";"https://uni-heidelberg.de/nhdp";"Nepal Heritage Documentation Project";"";""
